"Entity","Month","Total_lockdown_length","Lockdown_severity","Monthly_death_rates_per_million_people","Monthly_income_support"
"Myanmar","2020-04",27,44,0.093011595,3
"Myanmar","2020-05",31,62,0,15
"Myanmar","2020-06",30,60,0,0
"Myanmar","2020-07",31,62,0,0
"Myanmar","2020-08",31,62,0,0
"Namibia","2020-01",0,0,0,0
"Namibia","2020-02",0,0,0,0
"Namibia","2020-03",5,10,0,0
"Namibia","2020-04",30,60,0,2
"Namibia","2020-05",31,37,0,0
"Namibia","2020-06",30,30,0,0
"Namibia","2020-07",31,31,3.11459,0
"Namibia","2020-08",31,31,24.91671995,0
"New Zealand","2020-01",0,0,0,0
"New Zealand","2020-02",0,0,0,0
"New Zealand","2020-03",11,20,0.19486795,30
"New Zealand","2020-04",30,60,3.5076231,60
"New Zealand","2020-05",13,26,0.58460385,62
"New Zealand","2020-06",0,0,0,60
"New Zealand","2020-07",0,0,0,62
"New Zealand","2020-08",19,38,0,62
"Peru","2020-01",0,0,0,0
"Peru","2020-02",0,0,0,0
"Peru","2020-03",17,48,2.837906469,16
"Peru","2020-04",30,90,119.81939917,30
"Peru","2020-05",31,72,459.352502,31
"Peru","2020-06",30,60,522.5033875,30
"Peru","2020-07",31,62,538.335923,31
"Peru","2020-08",31,62,539.620444,31
"Poland","2020-01",0,0,0,0
"Poland","2020-02",0,0,0,0
"Poland","2020-03",1,2,0.807592644,14
"Poland","2020-04",30,49,15.396363072,30
"Poland","2020-05",29,29,11.410502418,31
"Poland","2020-06",0,0,10.003728328,30
"Poland","2020-07",0,0,6.903614556,31
"Poland","2020-08",0,0,8.440645688,31
"Serbia","2020-01",0,0,0,0
"Serbia","2020-02",0,0,0,0
"Serbia","2020-03",17,48,2.35599974,1
"Serbia","2020-04",30,90,23.11824732,30
"Serbia","2020-05",31,43,10.16024872,31
"Serbia","2020-06",30,30,4.71199936,30
"Serbia","2020-07",31,31,42.84974636,33
"Serbia","2020-08",31,31,21.4984977,62
"Spain","2020-01",0,0,0,0
"Spain","2020-02",0,0,0.020908106,0
"Spain","2020-03",18,36,179.3079146,28
"Spain","2020-04",30,60,346.42641,60
"Spain","2020-05",31,57,84.092404,55
"Spain","2020-06",20,20,11.9176211,60
"Spain","2020-07",28,45,3.11530792,62
"Spain","2020-08",31,40,23.8979657,62
"Sweden","2020-01",0,0,0,0
"Sweden","2020-02",0,0,0,0
"Sweden","2020-03",7,7,27.08040211,42
"Sweden","2020-04",30,30,239.6234136,60
"Sweden","2020-05",31,31,169.5385714,62
"Sweden","2020-06",30,30,83.9111042,60
"Sweden","2020-07",31,31,25.17333105,62
"Sweden","2020-08",31,31,6.67474696,62
"Uruguay","2020-01",0,0,0,0
"Uruguay","2020-02",0,0,0,0
"Uruguay","2020-03",19,19,0,14
"Uruguay","2020-04",30,41,4.42365234,30
"Uruguay","2020-05",31,31,2.06437106,31
"Uruguay","2020-06",30,30,1.4745508,30
"Uruguay","2020-07",9,9,2.35928128,32
"Uruguay","2020-08",1,1,2.65419142,62
