"Entity","Month","Total_lockdown_length","Total_stay_at_home_requirements","Lockdown_severity","Monthly_death_rates_per_million_people","Monthly_income_support","Monthly_workplace_closures_severity","previous_month_connected_lockdown","long_lockdown"
"Czechia","2020-04",20,30,50,19.300734654,60,79,1,37
"Czechia","2020-05",0,31,31,7.870202524,62,55,0,0
"Czechia","2020-06",0,0,0,2.623400778,60,30,0,0
"Czechia","2020-07",0,0,0,3.185558096,62,31,0,0
"Czechia","2020-08",0,0,0,4.309872778,62,31,0,0
"Eswatini","2020-01",0,0,0,0,0,0,0,0
"Eswatini","2020-02",0,0,0,0,0,0,0,0
"Eswatini","2020-03",5,5,10,0,0,5,0,5
"Eswatini","2020-04",30,30,60,0.82043004,0,58,1,35
"Eswatini","2020-05",31,31,62,0.82043004,0,62,1,66
"Eswatini","2020-06",30,30,60,7.38387034,0,60,1,96
"Eswatini","2020-07",31,31,62,23.79247104,0,62,1,127
"Eswatini","2020-08",17,31,48,41.84193234,0,48,1,144
"Georgia","2020-01",0,0,0,0,0,0,0,0
"Georgia","2020-02",0,0,0,0,0,0,0,0
"Georgia","2020-03",9,23,33,0,0,49,0,9
"Georgia","2020-04",30,30,90,1.581141,7,86,1,39
"Georgia","2020-05",25,31,78,1.581141,31,62,1,61
"Georgia","2020-06",14,30,44,0.7905705,30,60,1,17
"Georgia","2020-07",0,31,31,0.527047,31,62,0,0
"Georgia","2020-08",0,31,31,0.527047,31,62,0,0
"Greece","2020-01",0,0,0,0,0,0,0,0
"Greece","2020-02",0,0,0,0,0,0,0,0
"Greece","2020-03",9,9,18,4.03364132,14,40,0,9
"Greece","2020-04",30,30,60,8.8355953,30,60,1,39
"Greece","2020-05",29,31,60,4.32175856,31,35,1,68
"Greece","2020-06",0,30,30,1.15246893,60,30,0,0
"Greece","2020-07",0,31,31,1.05642992,62,31,0,0
"Greece","2020-08",0,31,31,6.05046202,62,31,0,0
"Guatemala","2020-01",0,0,0,0,0,0,0,0
"Guatemala","2020-02",0,0,0,0,0,0,0,0
"Guatemala","2020-03",10,10,20,0.056029227,0,45,0,10
"Guatemala","2020-04",30,30,60,1.008525608,10,87,1,40
"Guatemala","2020-05",31,31,62,4.314249875,31,90,1,71
"Guatemala","2020-06",30,30,60,35.69061697,30,90,1,101
"Guatemala","2020-07",31,31,62,63.87331895,31,88,1,132
"Guatemala","2020-08",31,31,62,48.91351465,31,62,1,163
"Guyana","2020-01",0,0,0,0,0,0,0,0
"Guyana","2020-02",0,0,0,0,0,0,0,0
"Guyana","2020-03",0,6,6,1.2171551,0,12,0,0
"Guyana","2020-04",28,30,58,8.5200857,0,68,0,28
"Guyana","2020-05",31,31,62,3.6514653,0,62,1,59
"Guyana","2020-06",16,30,46,1.2171551,16,60,1,75
"Guyana","2020-07",29,31,60,9.7372408,31,62,0,29
"Guyana","2020-08",31,31,62,18.2573262,17,0,1,60
"Iceland","2020-01",0,0,0,0,0,0,0,0
"Iceland","2020-02",0,0,0,0,0,0,0,0
"Iceland","2020-03",0,0,0,5.258702,22,32,0,0
"Iceland","2020-04",0,0,0,21.034808,60,60,0,0
"Iceland","2020-05",0,0,0,0,62,48,0,0
