description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
Eswatini is enforcing a 20-day nationwide partial lockdown from March 27 to April 16.,2020-03-25,2020-03-27,2020-04-16,Eswatini,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Exceptions (Please list exceptions in the text entry),20
"Eswatini extended the nationwide partial lockdown until May.7 but allowing low risk non essential business to operate under strict hygiene conditions. UPDATE: The original loackdown was set to last until April 16, it has been extended to May 7, ""but allowing low risk non essential business to operate under strict hygiene conditions"".",2020-04-15,2020-04-15,2020-05-07,Eswatini,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Exceptions (Please list exceptions in the text entry),22
