measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,60,Lithuania,3,Both,22,All ages,558,Mental disorders,1,Number,2017,201842.024288145,229156.61654442167,176156.5382796835
6,Incidence,60,Lithuania,3,Both,22,All ages,558,Mental disorders,1,Number,2018,200273.1678767157,227981.30930125163,174866.12183966488
6,Incidence,60,Lithuania,3,Both,22,All ages,558,Mental disorders,1,Number,2019,198810.3849432084,228573.04669510043,173120.18920940664
6,Incidence,60,Lithuania,3,Both,22,All ages,558,Mental disorders,1,Number,2020,224242.47259847968,287411.73990691814,177447.73070056312
6,Incidence,60,Lithuania,3,Both,22,All ages,558,Mental disorders,1,Number,2021,250467.49184710637,318064.4846334547,199670.86704003613
6,Incidence,43,Albania,3,Both,22,All ages,558,Mental disorders,1,Number,2017,97381.8266681724,111058.9453634464,86017.90323959957
6,Incidence,43,Albania,3,Both,22,All ages,558,Mental disorders,1,Number,2018,97480.87416718302,110983.97622147604,86367.16917890173
6,Incidence,43,Albania,3,Both,22,All ages,558,Mental disorders,1,Number,2019,97316.47502923226,110859.28259082558,86114.33154969629
6,Incidence,43,Albania,3,Both,22,All ages,558,Mental disorders,1,Number,2020,114920.8787641738,142490.44067211106,93458.83497766346
6,Incidence,43,Albania,3,Both,22,All ages,558,Mental disorders,1,Number,2021,119462.85045132435,148158.15628713756,96652.45109599776
6,Incidence,59,Latvia,3,Both,22,All ages,558,Mental disorders,1,Number,2017,128502.2495976387,143394.49536131936,115126.47909910452
6,Incidence,59,Latvia,3,Both,22,All ages,558,Mental disorders,1,Number,2018,128135.96538981424,143949.0686553197,113504.24639935332
6,Incidence,59,Latvia,3,Both,22,All ages,558,Mental disorders,1,Number,2019,127656.34249604808,145588.6366586241,111721.99560957224
6,Incidence,59,Latvia,3,Both,22,All ages,558,Mental disorders,1,Number,2020,136496.26963744307,173049.63641862877,106843.989723885
6,Incidence,59,Latvia,3,Both,22,All ages,558,Mental disorders,1,Number,2021,156501.30153628846,195589.28331201905,119462.69985401531
6,Incidence,47,Czechia,3,Both,22,All ages,558,Mental disorders,1,Number,2017,488960.22023783904,553643.6677181234,433597.7129045705
6,Incidence,47,Czechia,3,Both,22,All ages,558,Mental disorders,1,Number,2018,489999.50174594775,557779.5479597384,432768.7457929608
6,Incidence,47,Czechia,3,Both,22,All ages,558,Mental disorders,1,Number,2019,491458.2324457213,563941.1021708264,432516.43942217214
6,Incidence,47,Czechia,3,Both,22,All ages,558,Mental disorders,1,Number,2020,554042.6850123747,680162.7077529258,437783.73362758
6,Incidence,47,Czechia,3,Both,22,All ages,558,Mental disorders,1,Number,2021,587737.3876973239,725089.2886575672,467018.02574395377
6,Incidence,83,Iceland,3,Both,22,All ages,558,Mental disorders,1,Number,2017,15476.30148798241,17841.889172942818,13823.833549877654
6,Incidence,83,Iceland,3,Both,22,All ages,558,Mental disorders,1,Number,2018,15698.142482650524,18194.41038360095,13977.261957851597
6,Incidence,83,Iceland,3,Both,22,All ages,558,Mental disorders,1,Number,2019,15881.183299569731,18389.439256544625,14159.972965534183
