Entity,year_month,monthly_avg_deaths,Indicator,violence_indicator,unemployment_rate
croatia,2020-07,0.2500541463225807,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,250,85
croatia,2020-07,0.2500541463225807,Sexual violence by IPFM* (domestic violence): Female victims,16,85
croatia,2020-07,0.2500541463225807,Physical asault by IPFM* (domestic violence): Male victims,55,85
croatia,2020-07,0.2500541463225807,Physical asault by IPFM* (domestic violence): Female victims,190,85
croatia,2020-08,0.3373371919354839,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,295,86.33333333333333
croatia,2020-08,0.3373371919354839,Sexual violence by IPFM* (domestic violence): Female victims,13,86.33333333333333
croatia,2020-08,0.3373371919354839,Physical asault by IPFM* (domestic violence): Male victims,65,86.33333333333333
croatia,2020-08,0.3373371919354839,Physical asault by IPFM* (domestic violence): Female victims,217,86.33333333333333
czechia,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,720,76
czechia,2020-01,0,Sexual violence by IPFM* (domestic violence): Male victims,27,76
czechia,2020-01,0,Sexual violence by IPFM* (domestic violence): Female victims,148,76
czechia,2020-01,0,Physical asault by IPFM* (domestic violence): Male victims,381,76
czechia,2020-01,0,Physical asault by IPFM* (domestic violence): Female victims,164,76
czechia,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,623,68.66666666666667
czechia,2020-02,0,Sexual violence by IPFM* (domestic violence): Male victims,19,68.66666666666667
czechia,2020-02,0,Sexual violence by IPFM* (domestic violence): Female victims,136,68.66666666666667
czechia,2020-02,0,Physical asault by IPFM* (domestic violence): Male victims,332,68.66666666666667
czechia,2020-02,0,Physical asault by IPFM* (domestic violence): Female victims,136,68.66666666666667
czechia,2020-03,0.044471739,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,406,67.33333333333333
czechia,2020-03,0.044471739,Sexual violence by IPFM* (domestic violence): Male victims,7,67.33333333333333
czechia,2020-03,0.044471739,Sexual violence by IPFM* (domestic violence): Female victims,90,67.33333333333333
czechia,2020-03,0.044471739,Physical asault by IPFM* (domestic violence): Male victims,218,67.33333333333333
czechia,2020-03,0.044471739,Physical asault by IPFM* (domestic violence): Female victims,91,67.33333333333333
czechia,2020-04,0.651834801,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,354,75.33333333333333
czechia,2020-04,0.651834801,Sexual violence by IPFM* (domestic violence): Male victims,8,75.33333333333333
czechia,2020-04,0.651834801,Sexual violence by IPFM* (domestic violence): Female victims,62,75.33333333333333
czechia,2020-04,0.651834801,Physical asault by IPFM* (domestic violence): Male victims,206,75.33333333333333
czechia,2020-04,0.651834801,Physical asault by IPFM* (domestic violence): Female victims,78,75.33333333333333
eswatini,2020-01,0,Sexual violence by IPFM* (domestic violence): Male victims,459,NA
eswatini,2020-01,0,Sexual violence by IPFM* (domestic violence): Female victims,961,NA
eswatini,2020-01,0,Physical asault by IPFM* (domestic violence): Male victims,459,NA
eswatini,2020-01,0,Physical asault by IPFM* (domestic violence): Female victims,961,NA
eswatini,2020-02,0,Sexual violence by IPFM* (domestic violence): Male victims,393,NA
eswatini,2020-02,0,Sexual violence by IPFM* (domestic violence): Female victims,921,NA
eswatini,2020-02,0,Physical asault by IPFM* (domestic violence): Male victims,393,NA
eswatini,2020-02,0,Physical asault by IPFM* (domestic violence): Female victims,921,NA
eswatini,2020-03,0,Sexual violence by IPFM* (domestic violence): Male victims,329,NA
eswatini,2020-03,0,Sexual violence by IPFM* (domestic violence): Female victims,743,NA
eswatini,2020-03,0,Physical asault by IPFM* (domestic violence): Male victims,329,NA
eswatini,2020-03,0,Physical asault by IPFM* (domestic violence): Female victims,743,NA
eswatini,2020-04,0.027347667,Sexual violence by IPFM* (domestic violence): Male victims,220,NA
eswatini,2020-04,0.027347667,Sexual violence by IPFM* (domestic violence): Female victims,573,NA
eswatini,2020-04,0.027347667,Physical asault by IPFM* (domestic violence): Male victims,306,NA
eswatini,2020-04,0.027347667,Physical asault by IPFM* (domestic violence): Female victims,547,NA
eswatini,2020-05,0.026465484,Sexual violence by IPFM* (domestic violence): Male victims,306,NA
eswatini,2020-05,0.026465484,Sexual violence by IPFM* (domestic violence): Female victims,547,NA
eswatini,2020-05,0.026465484,Physical asault by IPFM* (domestic violence): Male victims,306,NA
eswatini,2020-05,0.026465484,Physical asault by IPFM* (domestic violence): Female victims,547,NA
eswatini,2020-06,0.179713239,Sexual violence by IPFM* (domestic violence): Male victims,331,NA
eswatini,2020-06,0.179713239,Sexual violence by IPFM* (domestic violence): Female victims,733,NA
eswatini,2020-06,0.179713239,Physical asault by IPFM* (domestic violence): Male victims,331,NA
eswatini,2020-06,0.179713239,Physical asault by IPFM* (domestic violence): Female victims,733,NA
eswatini,2020-07,0.6843218111612903,Sexual violence by IPFM* (domestic violence): Male victims,295,NA
eswatini,2020-07,0.6843218111612903,Sexual violence by IPFM* (domestic violence): Female victims,597,NA
eswatini,2020-07,0.6843218111612903,Physical asault by IPFM* (domestic violence): Male victims,295,NA
eswatini,2020-07,0.6843218111612903,Physical asault by IPFM* (domestic violence): Female victims,597,NA
eswatini,2020-08,1.406451469032258,Sexual violence by IPFM* (domestic violence): Male victims,301,NA
eswatini,2020-08,1.406451469032258,Sexual violence by IPFM* (domestic violence): Female victims,685,NA
eswatini,2020-08,1.406451469032258,Physical asault by IPFM* (domestic violence): Male victims,301,NA
eswatini,2020-08,1.406451469032258,Physical asault by IPFM* (domestic violence): Female victims,685,NA
georgia,2020-01,0,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,481,NA
georgia,2020-02,0,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,452,NA
