description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"Starting March 20th 2020, the Federal Headquater of Civil Protection is enforcing a lockdown for all person under the age of 18 in the Federation of BiH. The lockdown is enforced until 31st March 2020.",2020-03-20,2020-03-20,2020-03-31,Bosnia and Herzegovina,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),11
"Starting March 20th 2020, the Federal Headquater of Civil Protection is enforcing a lockdown for all person above the age of 65 in the Federation of BiH. The lockdown is enforced until 31st March 2020.",2020-03-20,2020-03-20,2020-03-31,Bosnia and Herzegovina,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),11
"Starting March 21st 2020, the Crisis Response Team of Republika Srpska is enforcing a lockdown for seniors over the age of 65 in Republika Srpska. The lockdown is enforced until March 30th 2020.",2020-03-21,2020-03-21,2020-03-30,Bosnia and Herzegovina,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),9
"Starting March 24th, 2020, the Federal Crisis Response Team is enforcing a lockdown for residents of all immigration and asylum centers in the Federation of BiH. This includes the restriction on leaving and entering the camp, except for camp employees and personnel on duty, and/or admitting camp visitors.",2020-03-27,2020-03-24,NA,Bosnia and Herzegovina,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
