description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"Namibia, March 17th: For the time being up to and including May 4, 2020, the public is encouraged to stay at home and avoid gathering people.
Purchases of food and medicines, visits to the doctor, etc. or exercise in groups of max. three people are allowed. Only one person can make purchases per household.",2020-03-17,2020-03-17,2020-05-04,Namibia,National,1,Lockdown,NA,All (Travelers + Residents),Mandatory (Unspecified/Implied),48
"On April 14th, 2020. The Namibian Government extended the national lockdown from midnight on Friday 17th April 2020 to midnight on 4th May 2020. The country will reopen on 5th May 2020. During this period, movements within the whole country will be restricted.",2020-04-14,2020-04-17,2020-05-04,Namibia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),17
"The Namibian President announced in his presidential address on the 28th of March 2020, that the countrywide lockdown starts from 23:59 on 17 April 2020 and ends at 23:59 on 4 May 2020.",2020-03-28,2020-04-17,2020-05-04,Namibia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),17
"On the 31st of July 2020, Namibian president delivered a presidential address stating that Erongo Region is currently the epicenter in our fight against this invisible enemy. The current STAGE 3 level of restriction is due to lapse at midnight on Monday 3 August 2020. I hereby inform the nation that the Erongo Region and the special dispensation for the Local Authority Areas of Walvis Bay, Swakopmund and Arandis will remain unchanged and is hereby extended from Tuesday 4 August until midnight on Monday 31 August 2020.",2020-07-31,2020-08-03,2020-08-31,Namibia,Provincial,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),28
