description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"Officials in Santa Rosa, a village in Moruca, Region One (Barima-Waini) have implemented a 14-day lockdown in the community in light of the increasing novel coronavirus (COVID-19) cases in the area.",2020-07-04,2020-07-04,2020-07-18,Guyana,"Other (e.g., county)",1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),14
"Officials of Region Seven (Cuyuni-Mazaruni) have taken the step to implement more stringent measures to deal with and monitor the novel coronavirus (COVID-19) in the region. As of Tuesday, July 7, 2020, individuals seeking to pass through the Sherima Crossing, on the Essequibo River, will now be screened at the new Covid-19 checkpoint.",2020-07-04,2020-07-11,2020-08-07,Guyana,"Other (e.g., county)",1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),27
