description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"In Serbia, as of 10:00 on Wednesday (March 18), all persons over 65 in urban areas and over 70 in towns with less than 5000 inhabitants are forbidden from leaving their homes. Local authorities will bring food to the affected individuals and special hours at shops might be allocated to the elderly in order to purchase necessary items.",2020-03-18,2020-03-18,NA,Serbia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"On April 8, Prime Minister Ana Brnabic announced that a full weekend curfew will be enforced across Serbia starting on Friday, April 10, to curb the spread of the ongoing coronavirus disease (COVID-19) outbreak. The curfew will be in place from 17:00 (local time) on Fridays to 05:00 on Mondays.",2020-04-08,2020-04-10,2020-04-13,Serbia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),3
Serbia’s president announced a new curfew Tuesday that begins Friday at 5 p.m. that will last until 5 a.m. Tuesday local time (15:00GMT to 03:00GMT) during the Easter weekend for Orthodox Christians.,2020-04-14,2020-04-17,2020-04-21,Serbia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),4
"On July 7, the President of Serbia announced a state-wide, weekend-long lockdown (referred to as curfew) that will commence at 1800 on July 8 and last until 0500 July 10.",2020-07-07,2020-07-10,2020-07-13,Serbia,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),"Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)",3
