description,date_announced,date_start,date_end,country,init_country_level,domestic_policy,type,type_sub_cat,target_who_what,compliance,lockdown_length
"Announced on March 17th, 2020, the Government of Uruguay, led by Luis Lacalle Pou, remarked on the guidance of staying at home, taking the necessary hygiene precautions, maintaining caution, and being solidary enough to self-isolate during the period of spread of the coronavirus, to cope with this health crisis without more severe damages.",2020-03-17,2020-03-17,NA,Uruguay,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,NA
"Announced on March 24th, 2020, the Ministry of Public Health of Uruguay stated that as individuals over 65 were the most at-risk population, they should stay at home.",2020-03-24,2020-03-24,NA,Uruguay,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),NA
"The National Government exhorts the population not to leave housing without a specific need or move to other locations during Tourism Week (April 5-12), in order to prevent the spread of the virus to the Uruguayan departments that it has not yet affected.",2020-04-01,2020-04-05,2020-04-12,Uruguay,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory (Unspecified/Implied),7
"Announced on August 21st, 2020, the Government of Uruguay instructed its population to stay at home the night of the 24th (also known as ""La Noche de la Nostalgia"") to maintain the COVID-19 health control.",2020-08-21,2020-08-24,2020-08-26,Uruguay,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Mandatory with Legal Penalties (Jail Time),2
"Announced on December 16th, 2020, the Government of Uruguay stated they thought it best not to establish mandatory confinement of the population. President Lacalle Pou said that the ""stay at home"" had been used a lot and that everyone was well aware of what they could do or not.",2020-12-16,2020-12-16,NA,Uruguay,National,1,Lockdown,NA,All Residents (Citizen Residents + Foreign Residents),Voluntary/Recommended but No Penalties,NA
